Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
435,504,C600k_L700k_M400k_V3,600000,700000,400000,V3,40000,72,6.00,1926493.42,206446.53,30669.77,1790275.62,-75076.48,6.08%
436,363,C400k_L600k_M700k_V2,400000,600000,700000,V2,15000,174,14.50,2168196.67,612831.09,116276.96,1790703.53,-74648.57,6.60%
437,529,C700k_L0k_M1000k_V3,700000,0,1000000,V3,40000,60,5.00,1902594.14,179458.00,40121.39,1791261.07,-74091.03,6.08%
438,358,C400k_L500k_M800k_V2,400000,500000,800000,V2,15000,171,14.25,2172967.00,625571.50,125628.81,1791373.78,-73978.32,6.63%
439,509,C600k_L800k_M300k_V3,600000,800000,300000,V3,40000,72,6.00,1926446.64,199588.65,23858.68,1791758.90,-73593.20,6.06%
440,368,C400k_L700k_M600k_V2,400000,700000,600000,V2,15000,174,14.50,2163178.36,593975.44,102439.63,1792403.16,-72948.94,6.53%
441,514,C600k_L900k_M200k_V3,600000,900000,200000,V3,40000,72,6.00,1926941.57,192747.37,16522.47,1793486.25,-71865.85,6.04%
442,519,C600k_L1000k_M100k_V3,600000,1000000,100000,V3,40000,69,5.75,1925187.53,184940.60,8449.49,1793680.73,-71671.37,6.02%
443,373,C400k_L800k_M500k_V2,400000,800000,500000,V2,15000,174,14.50,2158342.19,574285.97,87586.33,1794335.91,-71016.19,6.47%
444,534,C700k_L100k_M900k_V3,700000,100000,900000,V3,40000,63,5.25,1909672.54,184440.75,41331.06,1794488.48,-70863.62,6.09%
